,year,origin,destination,total_value,pct,pct_acum
60,2015,USA,Canada,2412000000,10.5810858615636,10.5810858615636
45,2015,Netherlands,Belgium,2318113000,10.169217533087389,20.75030339465099
18,2015,France,Germany,1940000000,8.510491945038716,29.260795339689707
34,2015,Japan,Brazil,1776000000,7.7910482960766805,37.05184363576639
39,2015,Japan,USA,1437000000,6.303905631453936,43.355749267220325
37,2015,Japan,South Korea,1039000000,4.557938727265581,47.913687994485905
13,2015,China,Germany,974000000,4.2727933785916035,52.186481373077505
23,2015,Germany,South Korea,902000000,3.956940069291197,56.143421442368705
15,2015,China,USA,835000000,3.663021017581097,59.8064424599498
20,2015,France,USA,815000000,3.575283987219873,63.381726447169676
35,2015,Japan,China,809000000,3.548962878111506,66.93068932528118
12,2015,China,Brazil,785000000,3.4436784416780375,70.37436776695921
56,2015,South Korea,Vietnam,737007000,3.2331402767717266,73.60750804373093
11,2015,China,Argentina,733000000,3.215562162738855,76.82307020646978
32,2015,Italy,Switzerland,643000000,2.8207455261133476,79.64381573258312
