,year,origin,destination,total_value,pct,pct_acum
94,2020,Singapore,Thailand,1372000000,13.968641824475666,13.968641824475666
82,2020,China,Thailand,1351000000,13.754836082264305,27.723477906739973
92,2020,Malaysia,Thailand,1043000000,10.619018529830992,38.34249643657097
84,2020,China,United Arab Emirates,903000000,9.193646915088577,47.53614335165955
86,2020,Germany,India,548000000,5.579311749134596,53.115455100794144
101,2020,Vietnam,United Arab Emirates,540000000,5.497861942577886,58.61331704337203
96,2020,Spain,Germany,491000000,4.998981877418041,63.61229892079007
98,2020,USA,India,489000000,4.978619425778864,68.59091834656893
99,2020,USA,Thailand,383000000,3.8994094889024637,72.49032783547139
100,2020,United Arab Emirates,India,371000000,3.7772347790674,76.26756261453879
93,2020,Mexico,USA,358000000,3.644878843412747,79.91244145795153
